,topic1,topic2,topic3
ほん,0.3977184491,0.6320911438,0.6320911438
一,1.1733624772,1.1733624772,0.4297190584
おさらい,0.0683354762,0.3125366356,0.3125366356
えと,0.2180710852,0.2180710852,0.0002900018
最初,0.8415135672,0.4086016677,0.849161023
ネタ,0.0508636845,0.3912847202,0.0575267182
僕,1.1725004911,0.4550473436,0.3193897058
英語,1.7069594767,1.6110096787,0.7690538576
旅行,1.7597764706,0.7432146033,4.2499205849
こと,1.1020358336,2.2421535215,2.2421535215
ビジネス,0.1587553519,0.2364041631,0.2061247683
活用,0.2340255704,0.1459592118,0.2340255704
あれ,0.3784273574,0.297936961,0.621906423
ばー,0.2042072374,0.2042072374,0.1264999178
子供,0.6326069956,0.3699609967,0.6326069956
双子,0.2049956538,0.5735090527,0.268539967
６,0.1969385044,0.2083232636,0.1436787729
その子,0.2126306442,0.1747962589,0.2126306442
日本,0.2973614251,1.8260374528,1.8260374528
場,0.6243798557,0.0230104475,0.6243798557
勉強,0.391356466,1.2515546854,0.6414180516
仕事,0.213586323,0.213586323,0.0411171564
合間,0.141971024,0.243667235,0.2554377147
情報,0.3511208721,2.5492351392,2.5492351392
発信,0.5043819005,0.2939843336,0.0343078433
外国人,1.6050446283,0.4187148566,1.6050446283
友達,0.9274359758,1.0694550838,1.0694550838
無作為,0.2358016967,0.1566257173,0.1795984166
変,0.4819553425,0.3659594098,1.3729863623
事件,0.0724299146,0.3088306254,0.3088306254
人,5.860956652,0.9240197118,1.018607125
風,0.2801401509,1.3307865718,1.9877482012
安全面,0.3798319434,0.3798319434,0.2627438608
コミュニティ,0.3682431111,0.3682431111,0.3682431111
こちら側,0.1942863194,0.1985344034,0.1985344034
神戸,1.4908877981,1.4908877981,0.1377873376
国際都市,0.0141212177,0.3616077362,0.3616077362
外国,1.3569642255,1.3569642255,1.3569642255
ほとんど,0.2640996358,0.1054240293,0.2640996358
本当,0.3894401467,0.6395841064,0.6395841064
日本語,0.6578835706,0.6578835706,0.6578835706
接点,0.2329749167,0.1473753304,0.2329749167
いろいろ,0.2623762971,0.2828326937,1.243974128
壁,0.1965161293,0.1965161293,0.1965161293
融合,0.2258910731,0.1569232545,0.2258910731
出会い系,0.904660721,0.6178090466,0.904660721
今回,0.1965161293,0.1965161293,0.1965161293
案,0.5052562013,0.1835706848,0.5052562013
絵,0.3818324108,0.7686061692,0.1208796902
両者,0.2784887186,0.0842223981,0.2862664347
何か,0.3706056706,0.3650587469,0.3706056706
知恵,0.1965161293,0.1965161293,0.1965161293
拝借,0.0251203037,0.3516521034,0.3516521034
深堀,0.3510385697,0.0685469763,0.0054684091
してい,0.2908782738,0.0951348,0.1798344441
意見,0.4231822194,0.3579925295,0.148635493
観光客,1.0227865952,1.0227865952,0.8125816903
一つ,0.3268894964,0.0339478338,0.2702801392
街,0.5500262122,0.5500262122,0.2541338132
昔,0.2028430618,0.2185518491,0.0713188001
震災,0.1778145857,0.2225937289,0.1740671904
あそこ,0.0182278381,0.4093148636,0.1365961036
もの,0.5553684753,0.5206367081,0.3549622595
紙,0.2135273485,0.2135273485,0.0416540326
きっかけ,0.5653752191,0.0808196813,0.6588427899
今,0.9413792945,0.9413792945,0.4894066619
高校,0.2320538499,0.1149789306,0.3768082808
時,0.7931577688,0.4755549014,0.7931577688
相手,0.0487980138,0.6573833288,0.6573833288
回数,0.3042105538,0.0513607239,0.3042105538
TOEIC,0.1965161293,0.1965161293,0.1965161293
機会,0.2443480112,0.1320461604,0.2443480112
英会話,1.5739218284,0.6184047388,0.895111219
教室,0.6998718059,0.0142079159,0.299882901
お金,0.2002247079,0.2002247079,0.1627549836
週,0.0830679081,0.2992018292,0.2992018292
毎日,0.1177663477,0.2677951353,0.2677951353
頻度,0.2291377673,0.0858378127,0.5162096179
何回,0.0552587067,0.324372848,0.324372848
環境,0.0961217523,0.308526026,0.1964156667
中,0.3108147746,0.3934425794,0.5354697104
組織,0.0998703445,0.294934964,0.2369083234
海外,1.3037384813,0.8337615681,0.2773892617
留学,0.0910854765,0.7519361899,0.0475035638
大学生,0.2221681815,0.1619411357,0.2221681815
休学,0.1324654948,0.1922464267,0.5223463871
アメリカ,0.1937032302,0.2091650234,0.1555864003
シアトル,0.1508728831,0.2871952969,0.0253917916
自分,1.0520850128,1.3225574099,0.3698426753
NOVA,0.2750199225,0.1524206411,0.0094385633
方,1.6999106089,0.867247108,1.0052139697
いっぱい,0.1965161293,0.1965161293,0.1965161293
私,0.9505525045,0.9143297492,0.5617761766
チーム,0.0078584819,0.3672763435,0.3672763435
ガイドブック,0.405480748,0.405480748,0.0292492707
観光,1.2184620052,1.2184620052,0.9409313218
ホームページ,0.1169179911,0.3081871287,0.0980477795
発展,0.1965161293,0.1965161293,0.1965161293
定番,0.1075427408,0.2775128376,0.2750521987
スポット,0.9550939341,0.0838065453,0.3160166031
コミュニケーション,1.2514883805,0.4971470714,0.912491658
文化,0.9104142448,0.0267257369,0.7761253453
側,0.45159658,0.3192102146,1.7198914483
共通,0.1965161293,0.1965161293,0.1965161293
手段,1.2221024723,0.2704122632,0.875833584
一緒,0.4813234578,0.2158283167,0.4813234578
ディープ,0.1785426171,0.5831195491,0.3541630095
紹介,0.1965161293,0.1965161293,0.1965161293
地元,1.0019814942,1.0019814942,1.0019814942
おれ,0.1521634571,0.2636121061,0.1206827679
いな,0.2115995266,0.2115995266,0.0592040117
おじちゃん,0.2004163613,0.2004163613,0.1610102614
大阪,0.0288307498,0.334623882,0.4071190638
レストラン,0.2168446301,0.2168446301,0.0114550691
説明,0.5277135959,0.5277135959,0.4572573237
現地,0.1622299173,0.5340423146,0.6436623697
どっち,0.6578835706,0.6578835706,0.6578835706
トリガー,0.2445650732,0.5400921792,0.2224020022
旅行客,0.2088532426,0.5590793104,0.3121185268
自ら,0.0252466404,0.293150544,0.6027965496
形,0.5732250882,0.5732250882,0.0429422149
スクール,0.3760321194,0.651720151,0.651720151
チラシ,0.1703573766,0.2555306649,0.0681251931
不特定,0.1992043844,0.1928927778,0.1992043844
多数,0.20992824,0.2092168252,0.0774800601
要,0.6832362675,0.6832362675,0.4270846037
先生,0.2607734558,0.1509185168,0.0842886859
中間,0.2151391147,0.1928428803,0.1229290907
地点,0.1453675257,0.2443271688,0.2362938945
カフェ,0.8601023291,1.1414292635,4.6695204012
講師,0.1655656604,0.2245304122,0.2245304122
街角,0.1965161293,0.1965161293,0.1965161293
興味,0.3683594119,0.4525021318,0.0050913749
ティッシュ,0.0316378688,0.3457528417,0.3457528417
winwin,0.2265658653,0.1560137391,0.2265658653
らな,0.1448634077,0.243268699,0.243268699
マッチング,1.3248939626,0.9596119725,3.9884736144
機能,0.7726857946,0.5830435417,0.4288695633
体験,0.2632922619,0.1215466144,0.1985945669
価値,0.1580631505,0.2036241112,0.3505105081
提供,0.0469090994,0.364694336,0.1909364621
日本人,0.3203313793,0.0720127505,0.1379549746
異国,0.1989929293,0.1989929293,0.1739685137
語,0.2738944797,0.0922220967,0.2738944797
手軽,0.2128817997,0.2128817997,0.0475308041
空港,1.0846919413,1.4501168595,1.4501168595
場所,1.0019814942,1.0019814942,1.0019814942
誘導,0.2167407045,0.2167407045,0.0124011589
もともと,0.1858898669,0.2218148531,0.1386559132
案内,0.6578835706,0.6578835706,0.6578835706
サービス,0.2782510993,0.4496978278,0.4496978278
アプリ,0.8200357222,0.8200357222,0.4406323593
正直,0.2737873459,0.0923664965,0.2737873459
お墨付き,0.1965161293,0.1965161293,0.1965161293
神戸市,0.4024579669,0.4024579669,0.0567672407
地域,0.1715191355,0.5254941863,0.6358575162
連携,0.1965161293,0.1965161293,0.1965161293
運営,0.2052049761,0.2052049761,0.1174169763
信頼,0.3211636939,0.0285105165,0.3211636939
生田神社,0.1965161293,0.1965161293,0.1965161293
境内,0.2165745524,0.1694804815,0.2165745524
マニュアル,0.154961531,0.2211637645,0.2899201984
用意,0.2511946554,0.1228179443,0.2511946554
お寺,0.2200987141,0.1647304573,0.2200987141
たいへん,0.1674261973,0.2183328884,0.2422693718
歴史,0.3477654073,0.0574534914,0.068919076
パンフレット,0.2042565627,0.2042565627,0.1260508835
スペース,0.2894824305,0.0902970123,0.2073533275
暇,0.2286118481,0.2028369638,0.0152494368
タイミング,0.1411952531,0.2465888659,0.2465888659
ため,0.1817048454,0.2099223074,0.2099223074
何,0.2070498836,0.2070498836,0.1006218105
相談,0.2395324485,0.1329543553,0.2635554607
今度,0.2463511563,0.1331731343,0.2298827692
収集,0.0093852388,0.3989801604,0.2235159461
F,0.3872139995,0.3872139995,0.195541113
登録,0.6163253855,2.1720862375,2.1720862375
何人,0.346236836,0.0305137919,0.1921866647
看板,0.219300831,0.1871769797,0.1273341661
店先,0.3366501613,0.0076371569,0.3366501613
スマホ,0.3330353964,0.0125093001,0.3330353964
お互い,0.1812837015,0.2175556761,0.1790950632
反応,0.0628029274,0.542814878,1.0831814545
よね,0.1650481559,0.2434224165,0.145716215
事前,0.3189149886,0.0315414231,0.3189149886
完全,0.1511173407,0.2093365703,0.3592693039
きれい,0.1846680012,0.2041284065,0.2206315486
要素,0.2065472257,0.2065472257,0.1051977706
コース,0.2380570048,0.1593156539,0.1571968126
掲示,0.2141755247,0.2141755247,0.0357533431
表示,0.2459455636,0.161586034,0.1095599195
みなさん,0.1889146129,0.2451142469,0.0238717723
やり方,0.2350001369,0.1446456471,0.2350001369
簡単,0.3439783806,0.060348645,0.0746388215
インターネット,0.3223750519,0.0397052592,0.2671743713
おっさん,0.1965161293,0.1965161293,0.1965161293
飯,0.2227855594,0.1356599521,0.3323009639
ぐるナビ,0.1080642493,0.3108795752,0.1289611239
すね,0.3199932075,0.030088151,0.3199932075
学校,0.3337599193,0.0115327555,0.3337599193
誰,0.100158252,0.6108954954,0.6108954954
状態,0.1511905795,0.2375417687,0.2375417687
ランゲージ,0.1965161293,0.1965161293,0.1965161293
サイト,0.2010281159,0.2099768104,0.116932047
メッセージ,0.1984852576,0.2203170259,0.0846410472
やりとり,0.2780588895,0.132766738,0.07942791
不安,0.3310706141,0.041670639,0.2169762082
公認,1.4250783727,0.9736247109,0.080965801
ネット,0.2034365077,0.2034365077,0.1335162766
店舗,0.32181606,0.0276312281,0.32181606
斡旋,0.2147134929,0.2147134929,0.0308559345
交換,0.1965161293,0.1965161293,0.1965161293
店,0.2620467257,0.1507227278,0.0790192685
店主,0.3593561954,0.0302909226,0.1301700895
複数,0.0180680505,0.2723586231,0.7267295475
検定,0.1972113056,0.233951677,0.0320820246
市,0.2795610741,0.1092344721,0.1734839654
不満,0.1243326442,0.2968921565,0.1110617746
実名,0.1965161293,0.1965161293,0.1965161293
パック,0.3682431111,0.3682431111,0.3682431111
自由,0.3299555874,0.0166604057,0.3299555874
時間,0.1801059429,0.2484034489,0.052000734
航空,0.2363579229,0.1652329011,0.1398889549
具現,0.1589009186,0.2305628883,0.2305628883
話,0.48582078,0.6174133889,0.2723447018
二人,0.5662946725,0.5662946725,0.1060334425
シャットアウト,0.1810379728,0.2105259156,0.2105259156
絵心,0.4439983182,0.2661368243,0.4439983182
チケット,0.2848755389,0.0982767749,0.1951278991
契機,0.2585387668,0.1382260839,0.1496352493
有料,0.1495906723,0.2509305956,0.1876052587
排除,0.1202287562,0.2958720296,0.1351512222
プロフィール,1.7879557965,0.6034710384,0.853745191
ジャンル,0.1965161293,0.1965161293,0.1965161293
お酒,0.1481292154,0.4650558263,1.0082195561
閉鎖,0.2255322516,0.0870580517,0.5282657652
空間,0.2127681281,0.2127681281,0.0485656164
個々,0.1630079963,0.2268454377,0.2268454377
状況,0.2162954149,0.201530668,0.0799922849
訳,0.3232315082,0.0257234231,0.3232315082
画面,0.5503531772,0.5503531772,0.2511572791
認識,0.2151573047,0.2151573047,0.0268156824
取っ手,0.1693140524,0.2176525958,0.2361347913
半分,0.0402202135,0.2895687108,0.5463340568
安心,0.2070646523,0.2070646523,0.1004873634
自然,0.2035317848,0.1870601122,0.2035317848
