,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
神戸,0,0.314807501,0.2483382325,0.1189974262,0.0720956856,0.4245030586,0.28187077,0.0030577316,0.594311907,0
イベント,0.7408914524,0.5741250839,0.2819919902,0.3004021601,0.5610899202,2.8197575058,0.2934888261,0.5805177125,0.7310978211,0.402245315
認知,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
労力,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
結果,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
電車,0.1601110093,0.1238495721,0.0513573954,0.0805065844,0.1563943333,0.8484874584,0.0518837775,1.6850150461,0.1332516819,0.4277881868
窓,0,0.422273725,0.1741895721,0.0909921379,0.1488421617,1.7047894652,0.1929144308,0.6469474661,0.6624324182,0
目,0,0,0,0,0,0.3389972091,0,0.4665931903,0,0
今回,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
移動,0,0,0,0,0,0.114773855,0,0.1537561378,0,0
駅,0.5287125001,0.3230257395,0.229257177,0.2875152236,0.3881467457,0.8469646098,0.2021146125,1.2962526721,0.3252641743,0.8464069097
周辺,0,0.0106335952,0.0933261811,0.0309043018,0.0315715235,0.209265273,0.0977389658,0.0045172154,0.241761616,0
表示,0,0,0,0,0,0.5951127278,0,1.0160746261,0,0
こと,0,0,0,0,0,0.0545887117,0,0.5868433841,0,1.5341989695
地域,0,0,0,0,0,0.2231782142,0,0.0453432049,0,0
人,1.0870224439,1.5000797461,1.4470379216,1.2557163608,1.3321050697,1.6502701399,1.5329467661,0.0886169725,2.3648953133,0.3870223988
参加,0,0.1242871587,0.0673375687,0.0430618308,0.0360259705,0.3888365276,0.0753801371,0.0387420482,0.2111783978,0
みんな,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
活性化,0,0,0,0,0,0.0996911469,0,0.1688400388,0,0
提案,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
これ,0.9059332906,0.5476865203,0.7906647678,0.8675072209,0.7736385037,0.2572511627,0.7486713532,0.5860471237,0.4080055387,2.1343063858
とき,0,0,0,0,0,0.4959272732,0,0.8467288551,0,0
ディスプレイ,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
電光,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
掲示,0,0,0,0,0,0.1613839784,0,0.107142328,0,0
僕,0,0.1417147037,0.036075739,0.0468812237,0.0468192103,0.6709796541,0.0688489203,0.1841964046,0.2271867296,0
全部,0,0,0,0,0,0.022835294,0,0.4047871755,0,0.5113996565
ブラインド,0,0,0,0,0,0.2975563639,0,0.508037313,0,0
それ,0.5103025148,0.2750752321,0.3044099348,0.4168418583,0.4650144903,0.3449554629,0.280993624,1.6177988123,0.161578149,2.5865362265
今,0,0,0,0,0,0.0631676034,0,1.0058880895,0,1.022799313
シート,0,0,0,0,0,1.95139e-05,0,0.2137926223,0,0.5113996565
内,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
内側,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
外,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
ぼく,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
つもり,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
外側,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
どっち,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
他,0,0,0,0,0,0.0027992675,0,0.2110126488,0,0.5113996565
バス,0,0,0,0,0,0.3967418185,0,0.6773830841,0,0
東京,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
画面,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
後ろ,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
トラック,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
そこ,0,0.1007477158,0.0661369845,0.0392386879,0.0429264039,0.5383608469,0.0736929084,0.103015178,0.226899823,0
情報,0.7358304319,0.5221081004,0.4203385618,0.4785867182,0.100478354,1.0106913705,0.4218033137,0.9358916632,0.5667659557,0.8372978083
装飾,0,0,0,0,0,0.096068324,0,0.1724631482,0,0
そこら,0,0,0,0,0,0.0021724374,0,0.2116395285,0,1.022799313
自然,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
ほお,0,0,0,0,0,0.1821842776,0,0.0863403837,0,0
正直,0,0,0,0,0,0.0261465614,0,0.2423904409,0,0
プロトタイプ,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
一枚,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
どこ,0,0,0,0,0,0.0846816536,0,0.7705602,0,0.5113996565
問題,0,0,0,0,0,0.172484582,0,0.0960408464,0,0
皆さん,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
アイデア,0,0,0,0,0,0.0052850063,0,0.2085267134,0,0.5113996565
一,0,0,0,0,0,0.0053202843,0,0.2084914327,0,0.5113996565
音楽,0,0,0,0,0,0.3967418185,0,0.6773830841,0,0
車内,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
音声,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
どこら辺,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
景色,0,0,0,0,0,0.2437000306,0,0.2933588356,0,0
判断,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
自分,0,0.2694051586,0.1677814853,0.0965537512,0.0710527051,0.6094211252,0.0397015733,0.0319376103,0.4764679105,0
何,0,0.2678430832,0.1205145754,0.0890964753,0.0870929992,1.2092595248,0.133948406,0.2872936657,0.4325449761,0
ここ,0,0.2563439911,0.1288146968,0.0874150236,0.0777707585,0.9285538518,0.1437951022,0.1404011318,0.4267719759,0
ろって,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
柱,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
逆,0,0.2691367338,0.1927431788,0.0997962737,0.0641506039,0.4187710548,0.218004564,0.008793485,0.3050422055,0
向こう,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
ホーム,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
ここら辺,0,0,0,0,0,0.3432620048,0,0.1937889871,0,0
線路,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
はいはい,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
やつか,0,0,0,0,0,0.1421576897,0,0.1263701373,0,0
あれ,0.2462607935,0.1467108949,0.2056491916,0.3155256908,0.2308635603,0.0183394791,0.2566336234,0.1455966809,0.0728492179,1.2936591234
アイコン,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
下,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
興味,0,0,0,0,0,0.2975563639,0,0.508037313,0,0
だめ,0,0,0,0,0,0.1836715638,0,0.0848529799,0,0
開催,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
メイン,0,0,0,0,0,0.2599155304,0,0.2771420533,0,0
さいの,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
スーパー,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
セール,0,0,0,0,0,0.0052850063,0,0.2085267134,0,0.5113996565
ほか,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
お店,0,0,0,0,0,0.0106713468,0,0.4169520847,0,1.022799313
広告,0,0,0,0,0,0.2975563639,0,0.508037313,0,0
以上,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
大勢,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
もの,0,0.1653662843,0.1392323827,0.0903340594,0.0680723247,0.6077449679,0.1732305332,0.0336151367,0.4455305784,0
時間,0,0,0,0,0,0.4959272732,0,0.8467288551,0,0
朝,0,0,0,0,0,0.1983709093,0,0.338691542,0,0
サラリーマン,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
学生,0,0,0,0,0,0.2975563639,0,0.508037313,0,0
ほとんど,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
昼間,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
主婦,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
晩御飯,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
お酒,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
今日,0,0,0,0,0,0.0572470653,0,0.2112874773,0,0
いついつ,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
子,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
帯,0,0,0,0,0,0.296536191,0,0.2405184964,0,0
吊革,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
表現,0,0.1357149336,0.0765503249,0.0461894991,0.0440017406,0.1979125594,0.037000282,0.0158656697,0.2277254474,0
誰,0,0.3354945208,0.2313023834,0.1227748945,0.0836740487,0.6274671369,0.2612616907,0.0138849349,0.6095253119,0
議論,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
ジャンル,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
中,0,0,0,0,0,0.0139564519,0,0.1998545821,0,0.5113996565
趣味,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
形,0,0.1125530467,0.0764366581,0.0411112385,0.028204637,0.2131838406,0.0863007408,0.0005997347,0.2038136364,0
方,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
おじいさん,0,0,0,0,0,0.0108414804,0,0.2576967324,0,0
おばあさん,0,0,0,0,0,0.1652029353,0,0.103323069,0,0
じじ,0,0,0,0,0,0.160172245,0,0.1083541572,0,0
ばば,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
健康,0,0,0,0,0,0.0764747564,0,0.1920582655,0,0
相談,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
時,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
変化,0,0,0,0,0,0.119673924,0,0.1488556812,0,0
お金,0,0,0,0,0,0.0620339567,0,0.2065002073,0,0
ただ,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
花火,0,0.1172405142,0.051380019,0.043087595,0.0288880985,0.2093204559,0.092639344,0.0044631415,0.2139817828,0
大会,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
三宮,0,0,0,0,0,0.0052850063,0,0.2085267134,0,0.5113996565
町,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
ターゲット,0,0,0,0,0,0.0991854546,0,0.169345771,0,0
ボランティア,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
コア,0,0.0975598448,0.1805858186,0.0492188092,6.76284e-05,0,0.2101520542,0,0.1369107958,0
やつ,0,0.3160452396,0.5850079858,0.1594443943,0.0002190823,0,0.6807878433,0,0.8459106826,0
チャリティ,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
周り,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
ニーズ,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
祭り,0,0.1327416359,0.3376020556,0.2912774606,0.0012184866,0,0.3202233137,0,0.1202314883,0.5113996565
近辺,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
アナウンス,0,0.0790123517,0.1462539248,0.0398616241,2.00463e-05,0,0.1701992049,0,0.211480459,0
各駅,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
頭,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
メリット,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
今度,0,0.0940095806,0.0425792846,0.0474277057,6.51674e-05,0,0.2025044885,0,0.2516212823,0
地元,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
マニアック,0,0.433994099,0.8033344025,0.2189494337,0.0003008443,0,0.934859538,0,0.3717450472,0
テデックス,0,0.1625484027,0.3008813352,0.0055369355,0.0001126784,0,0.3501428361,0,0.4350688227,0
半分,0,0.0977953003,0.1810216528,0.0251373399,6.62178e-05,0,0.2106592449,0,0.1455560974,0
六,0,0.0793278348,0.1468378923,0.040020785,5.499e-05,0,0.1708787819,0,0.2102052104,0
実際,0,0.0790115969,0.1462525276,0.0398612433,4.52053e-05,0,0.170197579,0,0.2114784387,0
話,0,0.084698351,0.0781697875,0.2014312364,0.0008343233,0,0.2087671562,0,0.0552742805,0.5113996565
そっち,0,0.0662694655,0.1783495759,0.1653897577,0.0006992538,0,0.1640090577,0,0.0416942317,0.5113996565
自由,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
何々,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
側,0,0.1666523369,0.3084778244,0.0840758777,0.0001155232,0,0.358983053,0,0.3882630577,0
発信,0,0.3160452396,0.5850079858,0.1594443943,0.0002190823,0,0.6807878433,0,0.8459106826,0
大事,0,0.0764432277,0.2042460466,0.1853990959,0.0007746637,0,0.1161210201,0,0.049227091,0.5113996565
価値,0,0.0895891133,0.1658317865,0.045197586,6.21031e-05,0,0.1102155324,0,0.2397896834,0
人数,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
理解者,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
参加者,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
発想,0,0.0889817964,0.1647076272,0.0448911955,6.16821e-05,0,0.1136593222,0,0.2381641699,0
下敷き,0,0.0999428881,0.0064357306,0.0410489941,3.72287e-05,0,0.2152853286,0,0.2675020729,0
紙,0,0.1287556589,0.3574954206,0.3706749145,0.0016698228,0,0.3218917004,0,0.074282584,1.022799313
何枚,0,0.1580254281,0.2925091912,0.0797236139,1.5933e-05,0,0.340399971,0,0.4229628579,0
ため,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
タイプ,0,0.0662308911,0.178378489,0.1658047008,0.000701883,0,0.1639552519,0,0.0415748767,0.5113996565
たくさん,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
物,0,0.0790117433,0.1462527986,0.0398613172,4.03255e-05,0,0.1701978943,0,0.2114788306,0
文字,0,0.0622723907,0.1781447079,0.2077220146,0.0010040515,0,0.1571384737,0,0.0331378754,0.5113996565
コンテクスト,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
粘土,0,0.079052627,0.1463284755,0.0391998801,2.31575e-05,0,0.1702859613,0,0.2115882579,0
必要,0,0.1423038132,0.2634080716,0.0717920805,9.86449e-05,0,0.1040288438,0,0.1303494369,0
理解,0,0.1012955295,0.1875006684,0.0511034571,1.31392e-05,0,0.0438477041,0,0.2711224842,0
一言,0,0.0341774118,0.1538538643,0.0419329937,5.76174e-05,0,0.179043437,0,0.2224698304,0
めんど,0,0.1580226198,0.2925039929,0.0797221971,0.0001095411,0,0.3403939216,0,0.4229553413,0
いわな,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
場所,0,0.0935315524,0.0458835636,0.0471865412,6.4836e-05,0,0.201474776,0,0.2503418165,0
ごめん,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
サービス,0,0.1580226198,0.2925039929,0.0797221971,0.0001095411,0,0.3403939216,0,0.4229553413,0
拡散,0,0.0790121202,0.1462534963,0.0398615073,2.77627e-05,0,0.1701987062,0,0.2114798393,0
ツイッター,0,0.0892545682,0.2158978343,0.0588431274,8.08525e-05,0,0.251245495,0,0.0756068159,0
やな,0,0.0646046674,0.1854189467,0.1904902832,0.0008296248,0,0.1644053885,0,0.0269138434,1.022799313
テープ,0,0.3950565495,0.7312599823,0.1993054928,0.0002738528,0,0.8509848041,0,1.0573883532,0
リボン,0,0.0852537628,0.1031022201,0.0430104076,5.90978e-05,0,0.1836437258,0,0.228185904,0
りぼん,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
適当,0,0.0790118298,0.1462529589,0.0398613609,3.74398e-05,0,0.1701980808,0,0.2114790623,0
ポストイット,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
糊,0,0.1025557837,0.1898334319,0.0517392536,7.10916e-05,0,0.0366880345,0,0.2744956169,0
どれ,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
ティッシュ,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
レシート,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
絵,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
看板,0,0.0339395537,0.1538973336,0.0419448413,5.8504e-06,0,0.1790940233,0,0.2225326862,0
気合,0,0.0627568201,0.188232545,0.208812773,0.0009324366,0,0.162662704,0,0.020011051,1.5341989695
なにこれ,0,0.0094230687,0.1523719683,0.0050989809,6.21631e-05,0,0.1931689618,0,0.2400214544,0
お祭り,0,0.0147704507,0.157144436,0.0428298417,5.88497e-05,0,0.1828727543,0,0.2272279359,0
ポスター,0,0.0790113099,0.1462519965,0.0398610986,5.47706e-05,0,0.1701969608,0,0.2114776706,0
明石,0,0.0925149303,0.0529107723,0.0466736567,6.41313e-05,0,0.199284887,0,0.247620777,0
メリケン,0,0.080396181,0.148815429,0.0171607117,5.57306e-05,0,0.1731800888,0,0.2151843465,0
パーク,0,0.0379202998,0.1532192343,0.0417600248,5.73798e-05,0,0.1783049028,0,0.2215521671,0
ホワイト,0,0,0,0,0,0,0,0,0,1.2845930049
ボード,0,0,0,0,0,0,0,0,0,1.2845930049
マーカー,0,0,0,0,0,0,0,0,0,0.6422965025
俺,0,0,0,0,0,0,0,0,0,0.6422965025
辺,0,0,0,0,0,0,0,0,0,0.6422965025
拡大,0,0,0,0,0,0,0,0,0,0.6422965025
芦屋,0,0,0,0,0,0,0,0,0,1.9268895074
川,0,0,0,0,0,0,0,0,0,0.6422965025
字,0,0,0,0,0,0,0,0,0,0.6422965025
色変,0,0,0,0,0,0,0,0,0,0.6422965025
黒,0,0,0,0,0,0,0,0,0,0.6422965025
いっか,0,0,0,0,0,0,0,0,0,0.6422965025
せや,0,0,0,0,0,0,0,0,0,0.6422965025
統一,0,0,0,0,0,0,0,0,0,0.6422965025
どこら,0,0,0,0,0,0,0,0,0,0.6422965025
チラシ,0,0,0,0,0,0,0,0,0,0.6422965025
利益,0,0,0,0,0,0,0,0,0,0.6422965025
経費,0,0,0,0,0,0,0,0,0,0.6422965025
中川,0,0,0,0,0,0,0,0,0,0.6422965025
してん,0,0,0,0,0,0,0,0,0,0.6422965025
ビジュアル,0,0,0,0,0,0,0,0,0,0.6422965025
日にち,0,0,0,0,0,0,0,0,0,0.6422965025
黄色,0,0,0,0,0,0,0,0,0,0.6422965025
十三,0,0,0,0,0,0,0,0,0,1.2845930049
こっか,0,0,0,0,0,0,0,0,0,0.6422965025
前回,0,0,0,0,0,0,0,0,0,0.6422965025
やつで,0,0,0,0,0,0,0,0,0,0.6422965025
本間,0,0,0,0,0,0,0,0,0,0.6422965025
西北,0,0,0,0,0,0,0,0,0,0.6422965025
六甲,0,0,0,0,0,0,0,0,0,0.6422965025
今年,0,0,0,0,0,0,0,0,0,0.6422965025
ビエンナーレ,0,0,0,0,0,0,0,0,0,1.2845930049
駅名,0,0,0,0,0,0,0,0,0,0.6422965025
