"","time1","time2","time3","time4","time1","time2","time3","time4","idf"
"ほん",0.00468724473586792,0.00694406627535988,0.00677673937715843,0,0.00416666666666667,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"一",0.0140617342076037,0.00694406627535988,0.0271069575086337,0,0.0125,0.00617283950617284,0.0240963855421687,0,1.1249387366083
"おさらい",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"えと",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"最初",0.00542095831526659,0,0.023512590283084,0,0.00416666666666667,0,0.0180722891566265,0,1.30102999566398
"ネタ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"僕",0.0216838332610664,0,0.00783753009436133,0,0.0166666666666667,0,0.00602409638554217,0,1.30102999566398
"英語",0.0291666666666667,0.0246913580246914,0.0120481927710843,0.012987012987013,0.0291666666666667,0.0246913580246914,0.0120481927710843,0.012987012987013,1
"旅行",0.0208333333333333,0.00617283950617284,0.0240963855421687,0.051948051948052,0.0208333333333333,0.00617283950617284,0.0240963855421687,0.051948051948052,1
"こと",0.0291666666666667,0.0123456790123457,0.0240963855421687,0.038961038961039,0.0291666666666667,0.0123456790123457,0.0240963855421687,0.038961038961039,1
"ビジネス",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"活用",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"あれ",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"ばー",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"子供",0.0200257498915995,0,0,0,0.0125,0,0,0,1.60205999132796
"双子",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"６",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"その子",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"日本",0.00937448947173583,0.0347203313767994,0.00677673937715843,0,0.00833333333333333,0.0308641975308642,0.00602409638554217,0,1.1249387366083
"場",0.00542095831526659,0,0,0.0168964934501816,0.00416666666666667,0,0,0.012987012987013,1.30102999566398
"勉強",0.0216838332610664,0.0080310493559505,0,0,0.0166666666666667,0.00617283950617284,0,0,1.30102999566398
"仕事",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"合間",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"情報",0.0166666666666667,0.0246913580246914,0.0120481927710843,0.038961038961039,0.0166666666666667,0.0246913580246914,0.0120481927710843,0.038961038961039,1
"発信",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"外国人",0.0140617342076037,0.0277762651014395,0.00677673937715843,0,0.0125,0.0246913580246914,0.00602409638554217,0,1.1249387366083
"友達",0.0234362236793396,0.00694406627535988,0.00677673937715843,0,0.0208333333333333,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"無作為",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"変",0.0108419166305332,0,0.00783753009436133,0,0.00833333333333333,0,0.00602409638554217,0,1.30102999566398
"事件",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"人",0.0833333333333333,0.117283950617284,0.0963855421686747,0.12987012987013,0.0833333333333333,0.117283950617284,0.0963855421686747,0.12987012987013,1
"風",0.0216838332610664,0.016062098711901,0,0,0.0166666666666667,0.0123456790123457,0,0,1.30102999566398
"安全面",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"コミュニティ",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"こちら側",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"神戸",0.0542095831526659,0,0.00783753009436133,0,0.0416666666666667,0,0.00602409638554217,0,1.30102999566398
"国際都市",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"外国",0.0328107131510754,0.0208321988260796,0.00677673937715843,0,0.0291666666666667,0.0185185185185185,0.00602409638554217,0,1.1249387366083
"ほとんど",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"本当",0.0200257498915995,0,0,0,0.0125,0,0,0,1.60205999132796
"日本語",0.026700999855466,0,0,0,0.0166666666666667,0,0,0,1.60205999132796
"接点",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"いろいろ",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"壁",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"融合",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"出会い系",0.00542095831526659,0,0.0313501203774453,0,0.00416666666666667,0,0.0240963855421687,0,1.30102999566398
"今回",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"案",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"絵",0.00542095831526659,0,0.0156750601887227,0,0.00416666666666667,0,0.0120481927710843,0,1.30102999566398
"両者",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"何か",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"知恵",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"拝借",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"深堀",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"してい",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"意見",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"観光客",0.0234362236793396,0.00694406627535988,0.00677673937715843,0,0.0208333333333333,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"一つ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"街",0.0200257498915995,0,0,0,0.0125,0,0,0,1.60205999132796
"昔",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"震災",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"あそこ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"もの",0.00542095831526659,0.016062098711901,0,0,0.00416666666666667,0.0123456790123457,0,0,1.30102999566398
"紙",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"きっかけ",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"今",0.00468724473586792,0.0138881325507198,0.0203302181314753,0,0.00416666666666667,0.0123456790123457,0.0180722891566265,0,1.1249387366083
"高校",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"時",0.0162628749457998,0.0080310493559505,0,0,0.0125,0.00617283950617284,0,0,1.30102999566398
"相手",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"回数",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"TOEIC",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"機会",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"英会話",0.0379467082068661,0.0080310493559505,0,0,0.0291666666666667,0.00617283950617284,0,0,1.30102999566398
"教室",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"お金",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"週",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"毎日",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"頻度",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"何回",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"環境",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"中",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"組織",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"海外",0.00937448947173583,0.0277762651014395,0.00677673937715843,0,0.00833333333333333,0.0246913580246914,0.00602409638554217,0,1.1249387366083
"留学",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"大学生",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"休学",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"アメリカ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"シアトル",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"自分",0.00937448947173583,0,0.0338836968857922,0.014609593981926,0.00833333333333333,0,0.0301204819277108,0.012987012987013,1.1249387366083
"NOVA",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"方",0.00468724473586792,0.0416643976521593,0,0.0438287819457779,0.00416666666666667,0.037037037037037,0,0.038961038961039,1.1249387366083
"いっぱい",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"私",0.00416666666666667,0.00617283950617284,0.0180722891566265,0.012987012987013,0.00416666666666667,0.00617283950617284,0.0180722891566265,0.012987012987013,1
"チーム",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"ガイドブック",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"観光",0.00937448947173583,0.0347203313767994,0.0135534787543169,0,0.00833333333333333,0.0308641975308642,0.0120481927710843,0,1.1249387366083
"ホームページ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"発展",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"定番",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"スポット",0.0108419166305332,0.0080310493559505,0,0,0.00833333333333333,0.00617283950617284,0,0,1.30102999566398
"コミュニケーション",0.0108419166305332,0.032124197423802,0,0,0.00833333333333333,0.0246913580246914,0,0,1.30102999566398
"文化",0.00542095831526659,0.016062098711901,0,0,0.00416666666666667,0.0123456790123457,0,0,1.30102999566398
"側",0.0108419166305332,0,0,0.0168964934501816,0.00833333333333333,0,0,0.012987012987013,1.30102999566398
"共通",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"手段",0.00468724473586792,0.0138881325507198,0.0135534787543169,0,0.00416666666666667,0.0123456790123457,0.0120481927710843,0,1.1249387366083
"一緒",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"ディープ",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"紹介",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"地元",0.00833333333333333,0.0123456790123457,0.00602409638554217,0.025974025974026,0.00833333333333333,0.0123456790123457,0.00602409638554217,0.025974025974026,1
"おれ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"いな",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"おじちゃん",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"大阪",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"レストラン",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"説明",0.00468724473586792,0.00694406627535988,0.00677673937715843,0,0.00416666666666667,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"現地",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"どっち",0.00468724473586792,0.00694406627535988,0,0.0292191879638519,0.00416666666666667,0.00617283950617284,0,0.025974025974026,1.1249387366083
"トリガー",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"旅行客",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"自ら",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"形",0.0108419166305332,0,0.00783753009436133,0,0.00833333333333333,0,0.00602409638554217,0,1.30102999566398
"スクール",0.0200257498915995,0,0,0,0.0125,0,0,0,1.60205999132796
"チラシ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"不特定",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"多数",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"要",0.00937448947173583,0.00694406627535988,0.00677673937715843,0,0.00833333333333333,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"先生",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"中間",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"地点",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"カフェ",0,0.0208321988260796,0.047437175640109,0.014609593981926,0,0.0185185185185185,0.0421686746987952,0.012987012987013,1.1249387366083
"講師",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"街角",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"興味",0,0.0197785184114563,0,0,0,0.0123456790123457,0,0,1.60205999132796
"ティッシュ",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"winwin",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"らな",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"マッチング",0,0.0277762651014395,0.0338836968857922,0.0438287819457779,0,0.0246913580246914,0.0301204819277108,0.038961038961039,1.1249387366083
"機能",0,0.0395570368229127,0,0,0,0.0246913580246914,0,0,1.60205999132796
"体験",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"価値",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"提供",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"日本人",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"異国",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"語",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"手軽",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"空港",0,0.064248394847604,0.0156750601887227,0,0,0.0493827160493827,0.0120481927710843,0,1.30102999566398
"場所",0,0.048186296135703,0.00783753009436133,0,0,0.037037037037037,0.00602409638554217,0,1.30102999566398
"誘導",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"もともと",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"案内",0,0.00694406627535988,0.0135534787543169,0.014609593981926,0,0.00617283950617284,0.0120481927710843,0.012987012987013,1.1249387366083
"サービス",0,0.0080310493559505,0.00783753009436133,0,0,0.00617283950617284,0.00602409638554217,0,1.30102999566398
"アプリ",0,0.016062098711901,0.023512590283084,0,0,0.0123456790123457,0.0180722891566265,0,1.30102999566398
"正直",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"お墨付き",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"神戸市",0,0.0080310493559505,0.00783753009436133,0,0,0.00617283950617284,0.00602409638554217,0,1.30102999566398
"地域",0,0.0080310493559505,0.00783753009436133,0,0,0.00617283950617284,0.00602409638554217,0,1.30102999566398
"連携",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"運営",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"信頼",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"生田神社",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"境内",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"マニュアル",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"用意",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"お寺",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"たいへん",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"歴史",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"パンフレット",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"スペース",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"暇",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"タイミング",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"ため",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"何",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"相談",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"今度",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"収集",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"F",0,0.0080310493559505,0.00783753009436133,0,0,0.00617283950617284,0.00602409638554217,0,1.30102999566398
"登録",0,0.00694406627535988,0.0406604362629506,0.0730479699096299,0,0.00617283950617284,0.036144578313253,0.0649350649350649,1.1249387366083
"何人",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"看板",0,0.00988925920572816,0,0,0,0.00617283950617284,0,0,1.60205999132796
"店先",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"スマホ",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"お互い",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"反応",0,0,0.019301927606361,0,0,0,0.0120481927710843,0,1.60205999132796
"よね",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"事前",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"完全",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"きれい",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"要素",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"コース",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"掲示",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"表示",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"みなさん",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"やり方",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"簡単",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"インターネット",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"おっさん",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"飯",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"ぐるナビ",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"すね",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"学校",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"誰",0,0,0.019301927606361,0,0,0,0.0120481927710843,0,1.60205999132796
"状態",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"ランゲージ",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"サイト",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"メッセージ",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"やりとり",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"不安",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"公認",0,0,0.077207710425444,0,0,0,0.0481927710843374,0,1.60205999132796
"ネット",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"店舗",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"斡旋",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"交換",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"店",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"店主",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"複数",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"検定",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"市",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"不満",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"実名",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"パック",0,0,0.00783753009436133,0.0168964934501816,0,0,0.00602409638554217,0.012987012987013,1.30102999566398
"自由",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"時間",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"航空",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"具現",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"話",0,0,0.00783753009436133,0.0337929869003631,0,0,0.00602409638554217,0.025974025974026,1.30102999566398
"二人",0,0,0.0156750601887227,0.0168964934501816,0,0,0.0120481927710843,0.012987012987013,1.30102999566398
"シャットアウト",0,0,0.0096509638031805,0,0,0,0.00602409638554217,0,1.60205999132796
"絵心",0,0,0,0.0416119478267003,0,0,0,0.025974025974026,1.60205999132796
"チケット",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"契機",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"有料",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"排除",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"プロフィール",0,0,0,0.187253765220151,0,0,0,0.116883116883117,1.60205999132796
"ジャンル",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"お酒",0,0,0,0.0416119478267003,0,0,0,0.025974025974026,1.60205999132796
"閉鎖",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"空間",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"個々",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"状況",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"訳",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"画面",0,0,0,0.0624179217400505,0,0,0,0.038961038961039,1.60205999132796
"認識",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"取っ手",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"半分",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"安心",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
"自然",0,0,0,0.0208059739133502,0,0,0,0.012987012987013,1.60205999132796
